"id","categorie","type_cancer","sous_type","stade","titre","contenu","protocole","effets_secondaires","mots_cles","scenario_patient","reference","est_synthetique","date_creation"
"ONC-001","diagnostic","sein","HER2 positif","tout stade","Critères diagnostiques du cancer du sein HER2+","Le cancer du sein HER2 positif est défini par une surexpression ou amplification du gène HER2, présent dans 15 à 20% des cancers du sein. Le diagnostic repose sur l'immunohistochimie (IHC) : un score 3+ est directement positif. Un score 2+ nécessite une confirmation par hybridation in situ (FISH ou CISH). Un score 0 ou 1+ est considéré négatif. Le ciblage thérapeutique de HER2 par le Trastuzumab a transformé le pronostic de cette maladie autrefois redoutable.","","","sein; HER2; IHC; FISH; CISH; diagnostic; surexpression","Femme de 48 ans, masse mammaire gauche découverte en autopalpation. Biopsie : carcinome canalaire infiltrant grade SBR II, IHC HER2 score 3+. Bilan d'extension : stade IIB (T2 N1 M0).","Guide AMFROM 2024, Chapitre I – Cancers du sein","False","2026-05-02"
"ONC-002","traitement","sein","HER2 positif","II-III (néoadjuvant)","Protocole néoadjuvant EC → Docetaxel + double blocage HER2","En situation néoadjuvante pour les cancers du sein HER2+ à partir du stade II, le double blocage anti-HER2 (Trastuzumab + Pertuzumab) associé à la chimiothérapie est le standard. Les anti-HER2 ne doivent jamais être administrés en même temps que les anthracyclines (risque cardiotoxique). Ils sont introduits dès le premier cycle de Docetaxel. L'objectif est d'obtenir une réponse histologique complète (pCR) qui conditionne le traitement post-chirurgical.","{""nom"": ""EC100 → Docetaxel + Trastuzumab + Pertuzumab"", ""sequence"": [{""phase"": ""Phase 1 (anthracyclines)"", ""medicaments"": [{""nom"": ""Épirubicine"", ""dose"": ""100 mg/m²"", ""voie"": ""IV"", ""jour"": ""J1""}, {""nom"": ""Cyclophosphamide"", ""dose"": ""500 mg/m²"", ""voie"": ""IV"", ""jour"": ""J1""}], ""frequence"": ""Toutes les 21 jours"", ""cycles"": ""3 à 4 cycles""}, {""phase"": ""Phase 2 (taxane + anti-HER2)"", ""medicaments"": [{""nom"": ""Docetaxel"", ""dose"": ""100 mg/m²"", ""voie"": ""IV"", ""jour"": ""J1""}, {""nom"": ""Trastuzumab"", ""dose"": ""8 mg/kg (1er cycle) puis 6 mg/kg"", ""voie"": ""IV"", ""jour"": ""J1""}, {""nom"": ""Pertuzumab"", ""dose"": ""840 mg (1er cycle) puis 420 mg"", ""voie"": ""IV"", ""jour"": ""J1""}], ""frequence"": ""Toutes les 21 jours"", ""cycles"": ""3 à 4 cycles""}], ""duree_totale"": ""6 à 8 cycles au total"", ""remarques"": ""Anti-HER2 débutés au 1er cycle de Docetaxel uniquement. Chirurgie dans les 3 semaines après fin de chimio.""}","neutropénie fébrile; alopécie; nausées/vomissements; cardiotoxicité (surveillance FEVG); neuropathie périphérique","sein; HER2; EC100; Docetaxel; Trastuzumab; Pertuzumab; néoadjuvant; double blocage","Femme de 42 ans, cancer du sein HER2+ stade IIIA (T3 N2 M0). Débute EC100 x4 cycles, puis Docetaxel + Trastuzumab + Pertuzumab x4 cycles. Évaluation après 4 cycles : réduction tumorale de 70%. Chirurgie programmée 3 semaines après la fin du traitement.","Guide AMFROM 2024, p.13-14","False","2026-05-02"
"ONC-003","traitement","sein","HER2 positif","II-III (post-néoadjuvant)","Traitement post-néoadjuvant selon réponse histologique (pCR vs non-pCR)","La stratégie thérapeutique après chirurgie dépend entièrement du résultat histologique. Si réponse complète pathologique (pCR) : poursuivre Trastuzumab ± Pertuzumab (si atteinte ganglionnaire initiale) jusqu'à compléter 18 cycles au total. Si résidu tumoral (non-pCR) : substituer par TDM-1 (Trastuzumab emtansine) pour compléter 18 cycles. Le TDM-1 a démontré une réduction du risque de rechute de moitié (étude Katherine). Il possède l'AMM au Maroc dans cette indication.","{""nom"": ""TDM-1 (si non-pCR)"", ""medicaments"": [{""nom"": ""Trastuzumab emtansine (TDM-1)"", ""dose"": ""3,6 mg/kg"", ""voie"": ""IV"", ""jour"": ""J1""}], ""frequence"": ""Toutes les 21 jours"", ""cycles"": ""Jusqu'à compléter 18 cycles au total (anti-HER2 inclus)"", ""remarques"": ""Remplace Trastuzumab/Pertuzumab uniquement en cas d'absence de pCR. AMM Maroc disponible.""}","thrombopénie; élévation des transaminases; neuropathie; fatigue","TDM-1; trastuzumab emtansine; pCR; post-néoadjuvant; HER2; Katherine","Femme de 50 ans, cancer du sein HER2+ stade III, traitement néoadjuvant EC→Docetaxel+HP. Résultat anatomopathologique post-chirurgical : résidu tumoral ypT1 ypN1. Passage au TDM-1 pour 14 cycles supplémentaires. Bonne tolérance, surveillance plaquettaire mensuelle.","Guide AMFROM 2024, Chapitre I – Cancer du sein HER2+","False","2026-05-02"
"ONC-004","traitement","sein","HER2 positif","I-II (bas risque, adjuvant)","Schéma Tolaney — désescalade thérapeutique pour petites tumeurs HER2+","Pour les patientes présentant une tumeur HER2+ de moins de 2 cm sans atteinte ganglionnaire (pN0), une désescalade thérapeutique est possible. Le schéma Tolaney consiste en 12 séances de Paclitaxel hebdomadaire combinées au Trastuzumab pendant un an. Ce protocole présente des taux de survie très élevés avec peu de rechutes en phase II. Il est à discuter en RCP.","{""nom"": ""Schéma Tolaney"", ""medicaments"": [{""nom"": ""Paclitaxel"", ""dose"": ""80 mg/m²"", ""voie"": ""IV"", ""jour"": ""J1 hebdomadaire""}, {""nom"": ""Trastuzumab"", ""dose"": ""8 mg/kg (1er cycle) puis 6 mg/kg"", ""voie"": ""IV"", ""jour"": ""J1 toutes les 3 semaines""}], ""frequence"": ""Paclitaxel hebdomadaire x12 semaines, Trastuzumab pendant 1 an"", ""cycles"": ""12 semaines de Paclitaxel + 1 an de Trastuzumab"", ""remarques"": ""Réservé aux tumeurs T1 N0. Discussion en RCP obligatoire.""}","neuropathie périphérique; fatigue; alopécie modérée; cardiotoxicité (surveillance)","Tolaney; Paclitaxel; Trastuzumab; T1N0; HER2; désescalade; adjuvant","Femme de 55 ans, cancer du sein HER2+ pT1c pN0, grade II, chirurgie conservatrice d'emblée. Décision en RCP : schéma Tolaney (Paclitaxel 80mg/m² hebdomadaire x12 + Trastuzumab 1 an). Bonne tolérance, légère neuropathie des pieds à partir de la 9ème semaine, régressive.","Guide AMFROM 2024, Chapitre I – Cancer du sein HER2+","False","2026-05-02"
"ONC-005","suivi","sein","HER2 positif","post-traitement","Surveillance cardiaque et suivi post-traitement — Cancer du sein HER2+","Le suivi des patientes traitées pour un cancer du sein HER2+ doit inclure une surveillance cardiaque régulière (FEVG par échocardiographie ou scintigraphie) en raison du risque de cardiotoxicité lié aux anthracyclines et aux anti-HER2. En pratique : bilan cardiaque avant traitement, puis toutes les 3 à 4 cures pendant le traitement, puis à 6 et 12 mois. Le suivi oncologique classique comprend : consultation tous les 3-6 mois les 2 premières années, puis annuelle. Mammographie annuelle controlatérale. Pas d'imagerie systématique de réévaluation en dehors de signes cliniques suspects.","","","suivi; cardiotoxicité; FEVG; échocardiographie; HER2; surveillance; sein","Femme de 48 ans, fin de traitement cancer du sein HER2+ stade II. Programme de suivi : consultation J1M3, J1M6, J1M12. FEVG à M3, M6, M12. Mammographie bilatérale à 1 an. Aucun signe de rechute à 2 ans de recul.","Guide AMFROM 2024, Chapitre I – Cancers du sein","False","2026-05-02"
"ONC-006","diagnostic","sein","triple négatif (TNBC)","tout stade","Critères diagnostiques et profil du cancer du sein triple négatif","Le cancer du sein triple négatif (TNBC) se définit par l'absence simultanée des récepteurs aux œstrogènes (RE-), à la progestérone (RP-) et de la surexpression HER2 (HER2-). Il représente environ 15 à 20% des cancers du sein. Il touche préférentiellement les femmes jeunes et est associé à un risque élevé de rechute précoce et de métastases viscérales. La chimiosensibilité est élevée : un taux de réponse complète histologique (pCR) important est attendu après traitement néoadjuvant, ce qui est corrélé à une meilleure survie.","","","TNBC; triple négatif; RE-; RP-; HER2-; diagnostic; sein; jeune","Femme de 38 ans, ATCD familial de cancer du sein. Masse de 3 cm sein droit, IHC : RE 0%, RP 0%, HER2 score 1+. Diagnostic : TNBC grade III. Test BRCA en cours. Bilan : stade IIB (T2 N1 M0).","Guide AMFROM 2024, Chapitre I – Cancer du sein triple négatif","False","2026-05-02"
"ONC-007","traitement","sein","triple négatif (TNBC)","II-III (néoadjuvant)","Protocole Keynote-522 : Pembrolizumab + chimio néoadjuvante pour TNBC stade II-III","L'association Pembrolizumab (immunothérapie anti-PD1) à la chimiothérapie est devenue le standard en néoadjuvant pour les TNBC de stade II et III. Ce protocole augmente significativement le taux de pCR et la survie sans événement à 5 ans. Il est approuvé par la FDA et l'EMA. La séquence comprend : Paclitaxel + Carboplatine (± Pembrolizumab) pendant 12 semaines, puis 4 cycles d'anthracyclines (AC ou EC). Après chirurgie, poursuite du Pembrolizumab 6 mois si pCR, 9 cycles si pas de pCR.","{""nom"": ""Keynote-522 (Pembrolizumab + chimio)"", ""sequence"": [{""phase"": ""Phase 1"", ""medicaments"": [{""nom"": ""Pembrolizumab"", ""dose"": ""200 mg"", ""voie"": ""IV"", ""jour"": ""J1 / 3 semaines""}, {""nom"": ""Paclitaxel"", ""dose"": ""80 mg/m²"", ""voie"": ""IV"", ""jour"": ""J1, J8, J15""}, {""nom"": ""Carboplatine"", ""dose"": ""AUC 5 (ou AUC 1.5 hebdomadaire)"", ""voie"": ""IV"", ""jour"": ""J1""}], ""frequence"": ""Toutes les 3 semaines"", ""cycles"": ""4 cycles""}, {""phase"": ""Phase 2"", ""medicaments"": [{""nom"": ""Doxorubicine (ou Épirubicine)"", ""dose"": ""60 mg/m² (ou 90 mg/m²)"", ""voie"": ""IV"", ""jour"": ""J1""}, {""nom"": ""Cyclophosphamide"", ""dose"": ""600 mg/m²"", ""voie"": ""IV"", ""jour"": ""J1""}], ""frequence"": ""Toutes les 3 semaines"", ""cycles"": ""4 cycles""}], ""duree_totale"": ""8 cycles néoadjuvants + continuation Pembrolizumab post-op"", ""remarques"": ""Pembrolizumab non combiné aux anthracyclines dans certains schémas. G-CSF si schéma dose-dense.""}","neutropénie fébrile; toxicités immunitaires (thyroïdite, pneumopathie); neuropathie; nausées; alopécie","TNBC; Pembrolizumab; Paclitaxel; Carboplatine; AC; EC; néoadjuvant; immunothérapie; Keynote-522","Femme de 41 ans, TNBC stade IIIA (T3 N2 M0). Débute Pembrolizumab + Paclitaxel/Carboplatine x4 cycles, puis AC x4. IRM à mi-traitement : réponse partielle majeure. Chirurgie conservatrice possible. pCR obtenue. Poursuite Pembrolizumab 6 mois en adjuvant.","Guide AMFROM 2024, Chapitre I – TNBC, néoadjuvant","False","2026-05-02"
"ONC-008","traitement","sein","triple négatif (TNBC)","post-néoadjuvant (résidu tumoral)","Capécitabine et Olaparib en traitement de rattrapage post-néoadjuvant TNBC","En l'absence de réponse histologique complète après traitement néoadjuvant dans un TNBC, un traitement de rattrapage est indiqué. Deux options principales selon le profil moléculaire : 1) Capécitabine pendant 6 mois (étude CreateX) : améliore la survie sans événement et la survie globale, administrée en continu J1-J14 tous les 21 jours. 2) Olaparib pendant 1 an si mutation germinale BRCA : améliore significativement la survie sans maladie invasive (étude Olympia). AMM disponible au Maroc.","{""nom"": ""Capécitabine adjuvant (CreateX)"", ""medicaments"": [{""nom"": ""Capécitabine"", ""dose"": ""2000 mg/m²/jour (en 2 prises)"", ""voie"": ""orale"", ""jour"": ""J1 à J14""}], ""frequence"": ""Toutes les 21 jours"", ""cycles"": ""8 cycles (6 mois)"", ""remarques"": ""Option Olaparib 300mg x2/jour x1 an si mutation BRCA germinale confirmée.""}","syndrome main-pied; diarrhées; nausées; fatigue; Pour Olaparib : anémie, nausées, fatigue","TNBC; Capécitabine; Olaparib; BRCA; post-néoadjuvant; rattrapage; CreateX; Olympia","Femme de 44 ans, TNBC stade II, chimio néoadjuvante AC→Paclitaxel. Résultat : résidu tumoral ypT2 ypN0. Test BRCA : mutation BRCA1 germinale. Décision en RCP : Olaparib 300mg x2/j pendant 1 an. Tolérance acceptable, fatigue grade 1, hémoglobine à surveiller.","Guide AMFROM 2024, Chapitre I – TNBC post-néoadjuvant","False","2026-05-02"
"ONC-009","traitement","sein","RH+/HER2-","localisé (adjuvant)","Hormonothérapie adjuvante — Cancer du sein RH+/HER2- selon statut ménopausique","Toutes les patientes avec un cancer du sein RH+ (RE et/ou RP > 1%) doivent recevoir une hormonothérapie adjuvante, qu'elles aient eu ou non une chimiothérapie. Femmes non ménopausées : Tamoxifène 5 ans minimum en première intention. Pour les femmes jeunes à haut risque, l'association castration médicale (analogue LH-RH mensuel ou trimestriel) + anti-aromatase ou Tamoxifène augmente significativement la survie sans rechute (études SOFT/TEXT). Femmes ménopausées : anti-aromatase (Anastrozole, Létrozole ou Exemestane) pendant 5 ans. Extension à 10 ans discutable pour les patientes avec atteinte ganglionnaire.","{""nom"": ""Hormonothérapie adjuvante RH+"", ""options"": [{""situation"": ""Non ménopausée, bas risque"", ""traitement"": ""Tamoxifène 20 mg/j oral x 5 ans""}, {""situation"": ""Non ménopausée, haut risque"", ""traitement"": ""Analogue LH-RH mensuel + Létrozole ou Anastrozole x 2-5 ans""}, {""situation"": ""Ménopausée"", ""traitement"": ""Anastrozole 1mg/j ou Létrozole 2.5mg/j ou Exemestane 25mg/j x 5 ans""}, {""situation"": ""Extension"", ""traitement"": ""Prolongation jusqu'à 10 ans si N+ après discussion en RCP""}]}","bouffées de chaleur; douleurs articulaires (anti-aromatases); ostéoporose; thrombose veineuse (Tamoxifène); sécheresse vaginale","RH+; HER2-; hormonothérapie; Tamoxifène; anti-aromatase; Létrozole; Anastrozole; LH-RH; adjuvant","Femme de 52 ans ménopausée, cancer du sein RH+ HER2- pT1b pN0 grade I. Chimiothérapie non indiquée. Décision : Anastrozole 1mg/j x 5 ans. Bilan osseux initial (DEXA-scan). Calcium + Vitamine D systématiques. Suivi gynécologique annuel.","Guide AMFROM 2024, Chapitre I – Cancer du sein RH+/HER2-","False","2026-05-02"
"ONC-010","traitement","sein","RH+/HER2-","localisé haut risque (adjuvant)","Inhibiteurs CDK4/6 en adjuvant pour cancer du sein RH+ HER2- haut risque","Pour les patientes RH+/HER2- présentant un haut risque de rechute, l'adjonction d'un inhibiteur de CDK4/6 à l'hormonothérapie adjuvante apporte un bénéfice significatif. L'Abemaciclib pendant 2 ans réduit significativement le risque de rechute. Le Ribociclib pendant 3 ans améliore aussi la survie sans maladie infiltrante. Critères haut risque (Abemaciclib) : atteinte ≥4 ganglions, ou 1-3 ganglions avec grade 3 OU taille ≥5cm OU Ki67 ≥20%.","{""nom"": ""Abemaciclib + hormonothérapie (adjuvant)"", ""medicaments"": [{""nom"": ""Abemaciclib"", ""dose"": ""150 mg x 2/jour"", ""voie"": ""oral"", ""jour"": ""continu""}, {""nom"": ""Létrozole (ou autre anti-aromatase)"", ""dose"": ""2,5 mg/j"", ""voie"": ""oral"", ""jour"": ""continu""}], ""frequence"": ""Continu"", ""cycles"": ""Abemaciclib pendant 2 ans, anti-aromatase pendant 5-10 ans"", ""remarques"": ""Alternative : Ribociclib + hormonothérapie pendant 3 ans.""}","diarrhées (très fréquentes); neutropénie; fatigue; nausées; infections","CDK4/6; Abemaciclib; Ribociclib; RH+; HER2-; haut risque; adjuvant; hormonothérapie","Femme de 60 ans ménopausée, cancer du sein RH+/HER2- pT2 pN2 (4 ganglions+), grade II, Ki67=25%. Chimiothérapie adjuvante AC→Docetaxel terminée. Décision RCP : Abemaciclib 150mg x2/j x2 ans + Létrozole 2,5mg/j x5-10 ans. Diarrhées grade 1 gérées par lopéramide.","Guide AMFROM 2024, Chapitre I – RH+/HER2- inhibiteurs CDK4/6","False","2026-05-02"
